id_machine, type_agv, distance, temps, etat_machine_1, etat_machine_2, etat_machine_3, etat_machine_4, nbs_pieces
14, Arriere, 22, 120, Libre, Libre, Libre, En marche, 4
15, Arriere, 16, 108, En marche, Libre, Libre, Libre, 3
15, Arriere, 22, 98, Libre, En marche, Libre, Libre, 1
15, Arriere, 19, 102, Libre, Libre, En marche, Libre, 8
15, Arriere, 22, 94, Libre, Libre, Libre, En marche, 7
16, Arriere, 16, 111, En marche, Libre, Libre, Libre, 8
16, Arriere, 22, 109, Libre, En marche, Libre, Libre, 10
16, Arriere, 19, 97, Libre, Libre, En marche, Libre, 10
16, Arriere, 22, 92, Libre, Libre, Libre, En marche, 2
17, Avant, 24, 103, En marche, Libre, Libre, Libre, 7
17, Avant, 15, 101, Libre, En marche, Libre, Libre, 10
17, Avant, 18, 96, Libre, Libre, En marche, Libre, 1
17, Avant, 20, 91, Libre, Libre, Libre, En marche, 1
18, Avant, 24, 117, En marche, Libre, Libre, Libre, 5
18, Avant, 15, 108, Libre, En marche, Libre, Libre, 6
18, Avant, 18, 113, Libre, Libre, En marche, Libre, 10
18, Avant, 20, 116, Libre, Libre, Libre, En marche, 4
19, Avant, 24, 116, En marche, Libre, Libre, Libre, 3
19, Avant, 15, 120, Libre, En marche, Libre, Libre, 3
19, Avant, 18, 103, Libre, Libre, En marche, Libre, 8
19, Avant, 20, 98, Libre, Libre, Libre, En marche, 3
20, Avant, 24, 120, En marche, Libre, Libre, Libre, 1
20, Avant, 15, 94, Libre, En marche, Libre, Libre, 9
20, Avant, 18, 104, Libre, Libre, En marche, Libre, 5
20, Avant, 20, 117, Libre, Libre, Libre, En marche, 8
21, Arriere, 16, 119, En marche, Libre, Libre, Libre, 1
21, Arriere, 22, 101, Libre, En marche, Libre, Libre, 10
21, Arriere, 19, 120, Libre, Libre, En marche, Libre, 10
21, Arriere, 22, 91, Libre, Libre, Libre, En marche, 7
22, Avant, 24, 119, En marche, Libre, Libre, Libre, 4
22, Avant, 15, 94, Libre, En marche, Libre, Libre, 3
22, Avant, 18, 104, Libre, Libre, En marche, Libre, 5
22, Avant, 20, 116, Libre, Libre, Libre, En marche, 6
23, Arriere, 16, 97, En marche, Libre, Libre, Libre, 7
23, Arriere, 22, 108, Libre, En marche, Libre, Libre, 6
23, Arriere, 19, 98, Libre, Libre, En marche, Libre, 1
23, Arriere, 22, 111, Libre, Libre, Libre, En marche, 7
24, Avant, 24, 111, En marche, Libre, Libre, Libre, 9
24, Avant, 15, 103, Libre, En marche, Libre, Libre, 9
24, Avant, 18, 93, Libre, Libre, En marche, Libre, 1
24, Avant, 20, 108, Libre, Libre, Libre, En marche, 3
25, Avant, 24, 106, En marche, Libre, Libre, Libre, 4
25, Avant, 15, 93, Libre, En marche, Libre, Libre, 7
25, Avant, 18, 98, Libre, Libre, En marche, Libre, 5
25, Avant, 20, 90, Libre, Libre, Libre, En marche, 4
26, Avant, 24, 109, En marche, Libre, Libre, Libre, 10
26, Avant, 15, 112, Libre, En marche, Libre, Libre, 2
26, Avant, 18, 113, Libre, Libre, En marche, Libre, 9
26, Avant, 20, 90, Libre, Libre, Libre, En marche, 8
27, Arriere, 16, 90, En marche, Libre, Libre, Libre, 8
27, Arriere, 22, 92, Libre, En marche, Libre, Libre, 2
27, Arriere, 19, 111, Libre, Libre, En marche, Libre, 8
27, Arriere, 22, 120, Libre, Libre, Libre, En marche, 6
28, Arriere, 16, 100, En marche, Libre, Libre, Libre, 5
28, Arriere, 22, 112, Libre, En marche, Libre, Libre, 10
28, Arriere, 19, 99, Libre, Libre, En marche, Libre, 1
28, Arriere, 22, 119, Libre, Libre, Libre, En marche, 5
29, Avant, 24, 114, En marche, Libre, Libre, Libre, 7
29, Avant, 15, 90, Libre, En marche, Libre, Libre, 2
29, Avant, 18, 93, Libre, Libre, En marche, Libre, 4
29, Avant, 20, 104, Libre, Libre, Libre, En marche, 3
30, Avant, 24, 99, En marche, Libre, Libre, Libre, 8
30, Avant, 15, 116, Libre, En marche, Libre, Libre, 4
30, Avant, 18, 94, Libre, Libre, En marche, Libre, 4
30, Avant, 20, 110, Libre, Libre, Libre, En marche, 9
